Id,SalePrice
1461,125661.73989768917
1462,150887.67035116378
1463,181658.24129671964
1464,186711.10536540055
1465,191138.42073786186
1466,183507.57123055242
1467,169905.9707052036
1468,175915.3607719901
1469,181950.59647879485
1470,129113.42022505146
1471,200946.63249762423
1472,102323.53400374252
1473,106866.43057918591
1474,154342.57085742816
1475,126297.60771971717
1476,336096.2379886879
1477,252602.5271382388
1478,303330.95559451816
1479,299640.66285294975
1480,385079.7689894172
1481,304755.2595663643
1482,205342.44978839168
1483,185955.63198503337
1484,176773.71537910882
1485,176824.42722636665
1486,198860.85657279444
1487,304809.21294595324
1488,237840.9612418382
1489,198798.56185158752
1490,212861.32260442554
1491,197030.20408696556
1492,106192.30432586474
1493,177920.16196953045
1494,285263.8782134184
1495,285133.75483393273
1496,229775.7800331625
1497,182698.362339048
1498,160369.75601472292
1499,160834.15943720052
1500,160570.04677047973
1501,169863.2617439541
1502,165810.60014694725
1503,262230.355938472
1504,220309.98584850453
1505,219827.78875313947
1506,186133.0932946673
1507,229825.41360111043
1508,191607.879809387
1509,160837.83374678795
1510,150289.96553884627
1511,152960.70546555534
1512,174495.12949921115
1513,151483.79261562758
1514,153550.44827624634
1515,179716.18586663363
1516,152860.63586519528
1517,148964.6163229814
1518,142919.59750245977
1519,222255.4983723528
1520,138497.76445625868
1521,141302.01318682477
1522,163633.8473985805
1523,119283.5308294962
1524,120457.48166247213
1525,126905.57227063942
1526,125506.14515516974
1527,109720.69140526248
1528,125806.28158304744
1529,140707.9314604283
1530,165431.89527955104
1531,134759.84358651095
1532,104317.99461198205
1533,139747.868318338
1534,118672.61207469208
1535,149079.77564745824
1536,121478.7949510834
1537,99938.81619372853
1538,147205.62490974233
1539,182873.00164922272
1540,124512.97025958632
1541,139422.2194494834
1542,137130.32238854
1543,173996.1741104047
1544,89964.36905607779
1545,107617.72325510763
1546,122853.7092341874
1547,135316.6694174278
1548,125217.75676587308
1549,114018.45474985067
1550,138418.82456314992
1551,122474.77167376358
1552,145054.62200845502
1553,135786.76475750277
1554,116209.43095178966
1555,166938.56260076573
1556,102483.18798428711
1557,117081.63610342186
1558,105798.47731620437
1559,114659.55395023826
1560,141126.60429972433
1561,144309.47462181875
1562,126960.0082474136
1563,122863.27593310934
1564,162232.17559787564
1565,155199.86911171058
1566,204781.03521943043
1567,95786.90394808282
1568,214217.97705927977
1569,154651.4334652048
1570,136639.79581110575
1571,127690.62706574981
1572,142309.57206700402
1573,227239.58823154785
1574,135779.03740178465
1575,202770.73948874007
1576,225481.80982869206
1577,193768.37832274096
1578,146294.88785528007
1579,144523.51110486814
1580,191373.03491820587
1581,137434.01689513927
1582,126587.83397337138
1583,302991.9904188644
1584,232309.6984163663
1585,146660.99611068342
1586,91415.88242107778
1587,112233.33913002085
1588,141827.9760578388
1589,110661.56098661118
1590,132665.88213755778
1591,103893.64184541733
1592,132362.99667130466
1593,119298.79941281892
1594,125582.92935849208
1595,130120.2284855344
1596,200983.32394435865
1597,170347.34857282654
1598,180202.7871849016
1599,163725.20065439708
1600,174654.02321595224
1601,86232.61861233093
1602,114995.11159765454
1603,102677.26231590862
1604,266418.78436572873
1605,243157.92597049507
1606,161238.45445072415
1607,165731.65417407305
1608,213092.7764319187
1609,189925.1033698399
1610,162242.4850111433
1611,147648.4211367695
1612,191078.13289537193
1613,176204.54136060548
1614,121500.28433362978
1615,95191.78162826083
1616,91651.52574547076
1617,101698.01709501877
1618,123964.55910554624
1619,135323.31954381423
1620,175945.8704201514
1621,140253.88711695297
